date,source,unit,State,year,month,value
2024-01-15,Coal,MW,Andhra Pradesh,2024,1,13190
2024-02-15,Coal,MW,Andhra Pradesh,2024,2,13190
2024-03-15,Coal,MW,Andhra Pradesh,2024,3,13190
2024-04-15,Coal,MW,Andhra Pradesh,2024,4,13190
2024-05-15,Coal,MW,Andhra Pradesh,2024,5,13190
2024-06-15,Coal,MW,Andhra Pradesh,2024,6,13190
2024-07-15,Coal,MW,Andhra Pradesh,2024,7,13190
2024-08-15,Coal,MW,Andhra Pradesh,2024,8,13190
2024-09-15,Coal,MW,Andhra Pradesh,2024,9,13190
2024-10-15,Coal,MW,Andhra Pradesh,2024,10,13190
2024-11-15,Coal,MW,Andhra Pradesh,2024,11,13190
2024-12-15,Coal,MW,Andhra Pradesh,2024,12,13190
2025-01-15,Coal,MW,Andhra Pradesh,2025,1,13190
2025-02-15,Coal,MW,Andhra Pradesh,2025,2,13190
2025-03-15,Coal,MW,Andhra Pradesh,2025,3,13190
2025-04-15,Coal,MW,Andhra Pradesh,2025,4,13190
2025-05-15,Coal,MW,Andhra Pradesh,2025,5,13190
2025-06-15,Coal,MW,Andhra Pradesh,2025,6,13190
2025-07-15,Coal,MW,Andhra Pradesh,2025,7,13540
2025-08-15,Coal,MW,Andhra Pradesh,2025,8,13890
2024-01-15,Oil & Gas,MW,Andhra Pradesh,2024,1,4898.54
2024-02-15,Oil & Gas,MW,Andhra Pradesh,2024,2,4898.54
2024-03-15,Oil & Gas,MW,Andhra Pradesh,2024,3,4898.54
2024-04-15,Oil & Gas,MW,Andhra Pradesh,2024,4,4678.54
2024-05-15,Oil & Gas,MW,Andhra Pradesh,2024,5,4678.54
2024-06-15,Oil & Gas,MW,Andhra Pradesh,2024,6,4678.54
2024-07-15,Oil & Gas,MW,Andhra Pradesh,2024,7,4678.54
2024-08-15,Oil & Gas,MW,Andhra Pradesh,2024,8,4678.54
2024-09-15,Oil & Gas,MW,Andhra Pradesh,2024,9,4678.54
2024-10-15,Oil & Gas,MW,Andhra Pradesh,2024,10,4678.54
2024-11-15,Oil & Gas,MW,Andhra Pradesh,2024,11,4678.54
2024-12-15,Oil & Gas,MW,Andhra Pradesh,2024,12,4678.54
2025-01-15,Oil & Gas,MW,Andhra Pradesh,2025,1,4678.54
2025-02-15,Oil & Gas,MW,Andhra Pradesh,2025,2,4678.54
2025-03-15,Oil & Gas,MW,Andhra Pradesh,2025,3,4678.54
2025-04-15,Oil & Gas,MW,Andhra Pradesh,2025,4,1739.4
2025-05-15,Oil & Gas,MW,Andhra Pradesh,2025,5,1739.4
2025-06-15,Oil & Gas,MW,Andhra Pradesh,2025,6,1739.4
2025-07-15,Oil & Gas,MW,Andhra Pradesh,2025,7,1739.4
2025-08-15,Oil & Gas,MW,Andhra Pradesh,2025,8,1739.4
2024-01-15,Nuclear,MW,Andhra Pradesh,2024,1,
2024-02-15,Nuclear,MW,Andhra Pradesh,2024,2,
2024-03-15,Nuclear,MW,Andhra Pradesh,2024,3,
2024-04-15,Nuclear,MW,Andhra Pradesh,2024,4,
2024-05-15,Nuclear,MW,Andhra Pradesh,2024,5,
2024-06-15,Nuclear,MW,Andhra Pradesh,2024,6,
2024-07-15,Nuclear,MW,Andhra Pradesh,2024,7,
2024-08-15,Nuclear,MW,Andhra Pradesh,2024,8,
2024-09-15,Nuclear,MW,Andhra Pradesh,2024,9,
2024-10-15,Nuclear,MW,Andhra Pradesh,2024,10,
2024-11-15,Nuclear,MW,Andhra Pradesh,2024,11,
2024-12-15,Nuclear,MW,Andhra Pradesh,2024,12,
2025-01-15,Nuclear,MW,Andhra Pradesh,2025,1,
2025-02-15,Nuclear,MW,Andhra Pradesh,2025,2,
2025-03-15,Nuclear,MW,Andhra Pradesh,2025,3,
2025-04-15,Nuclear,MW,Andhra Pradesh,2025,4,
2025-05-15,Nuclear,MW,Andhra Pradesh,2025,5,
2025-06-15,Nuclear,MW,Andhra Pradesh,2025,6,
2025-07-15,Nuclear,MW,Andhra Pradesh,2025,7,
2025-08-15,Nuclear,MW,Andhra Pradesh,2025,8,
2024-01-15,Hydro,MW,Andhra Pradesh,2024,1,1610
2024-02-15,Hydro,MW,Andhra Pradesh,2024,2,1610
2024-03-15,Hydro,MW,Andhra Pradesh,2024,3,1610
2024-04-15,Hydro,MW,Andhra Pradesh,2024,4,1610
2024-05-15,Hydro,MW,Andhra Pradesh,2024,5,1610
2024-06-15,Hydro,MW,Andhra Pradesh,2024,6,1610
2024-07-15,Hydro,MW,Andhra Pradesh,2024,7,1610
2024-08-15,Hydro,MW,Andhra Pradesh,2024,8,1610
2024-09-15,Hydro,MW,Andhra Pradesh,2024,9,1610
2024-10-15,Hydro,MW,Andhra Pradesh,2024,10,1610
2024-11-15,Hydro,MW,Andhra Pradesh,2024,11,1610
2024-12-15,Hydro,MW,Andhra Pradesh,2024,12,1610
2025-01-15,Hydro,MW,Andhra Pradesh,2025,1,1610
2025-02-15,Hydro,MW,Andhra Pradesh,2025,2,1610
2025-03-15,Hydro,MW,Andhra Pradesh,2025,3,1610
2025-04-15,Hydro,MW,Andhra Pradesh,2025,4,1610
2025-05-15,Hydro,MW,Andhra Pradesh,2025,5,1610
2025-06-15,Hydro,MW,Andhra Pradesh,2025,6,2810
2025-07-15,Hydro,MW,Andhra Pradesh,2025,7,2810
2025-08-15,Hydro,MW,Andhra Pradesh,2025,8,3050
2024-01-15,Solar,MW,Andhra Pradesh,2024,1,4565.6
2024-02-15,Solar,MW,Andhra Pradesh,2024,2,4566.85
2024-03-15,Solar,MW,Andhra Pradesh,2024,3,4584.98
2024-04-15,Solar,MW,Andhra Pradesh,2024,4,4590.06
2024-05-15,Solar,MW,Andhra Pradesh,2024,5,4613.3
2024-06-15,Solar,MW,Andhra Pradesh,2024,6,4623.2
2024-07-15,Solar,MW,Andhra Pradesh,2024,7,4623.2
2024-08-15,Solar,MW,Andhra Pradesh,2024,8,4627.47
2024-09-15,Solar,MW,Andhra Pradesh,2024,9,4648.18
2024-10-15,Solar,MW,Andhra Pradesh,2024,10,4650.89
2024-11-15,Solar,MW,Andhra Pradesh,2024,11,4653.6
2024-12-15,Solar,MW,Andhra Pradesh,2024,12,4730.27
2025-01-15,Solar,MW,Andhra Pradesh,2025,1,4736.47
2025-02-15,Solar,MW,Andhra Pradesh,2025,2,5179.23
2025-03-15,Solar,MW,Andhra Pradesh,2025,3,5370
2025-04-15,Solar,MW,Andhra Pradesh,2025,4,5406.9
2025-05-15,Solar,MW,Andhra Pradesh,2025,5,5434.38
2025-06-15,Solar,MW,Andhra Pradesh,2025,6,5507.48
2025-07-15,Solar,MW,Andhra Pradesh,2025,7,5523.28
2025-08-15,Solar,MW,Andhra Pradesh,2025,8,5742.54
2024-01-15,Wind,MW,Andhra Pradesh,2024,1,4096.65
2024-02-15,Wind,MW,Andhra Pradesh,2024,2,4096.65
2024-03-15,Wind,MW,Andhra Pradesh,2024,3,4096.65
2024-04-15,Wind,MW,Andhra Pradesh,2024,4,4096.65
2024-05-15,Wind,MW,Andhra Pradesh,2024,5,4096.65
2024-06-15,Wind,MW,Andhra Pradesh,2024,6,4096.65
2024-07-15,Wind,MW,Andhra Pradesh,2024,7,4096.65
2024-08-15,Wind,MW,Andhra Pradesh,2024,8,4096.65
2024-09-15,Wind,MW,Andhra Pradesh,2024,9,4096.65
2024-10-15,Wind,MW,Andhra Pradesh,2024,10,4096.65
2024-11-15,Wind,MW,Andhra Pradesh,2024,11,4096.65
2024-12-15,Wind,MW,Andhra Pradesh,2024,12,4096.65
2025-01-15,Wind,MW,Andhra Pradesh,2025,1,4096.65
2025-02-15,Wind,MW,Andhra Pradesh,2025,2,4096.65
2025-03-15,Wind,MW,Andhra Pradesh,2025,3,4377.15
2025-04-15,Wind,MW,Andhra Pradesh,2025,4,4397.78
2025-05-15,Wind,MW,Andhra Pradesh,2025,5,4397.78
2025-06-15,Wind,MW,Andhra Pradesh,2025,6,4397.78
2025-07-15,Wind,MW,Andhra Pradesh,2025,7,4397.78
2025-08-15,Wind,MW,Andhra Pradesh,2025,8,4397.78
2024-01-15,Small-Hydro,MW,Andhra Pradesh,2024,1,163.31
2024-02-15,Small-Hydro,MW,Andhra Pradesh,2024,2,163.31
2024-03-15,Small-Hydro,MW,Andhra Pradesh,2024,3,163.31
2024-04-15,Small-Hydro,MW,Andhra Pradesh,2024,4,163.31
2024-05-15,Small-Hydro,MW,Andhra Pradesh,2024,5,163.31
2024-06-15,Small-Hydro,MW,Andhra Pradesh,2024,6,163.31
2024-07-15,Small-Hydro,MW,Andhra Pradesh,2024,7,163.31
2024-08-15,Small-Hydro,MW,Andhra Pradesh,2024,8,163.31
2024-09-15,Small-Hydro,MW,Andhra Pradesh,2024,9,163.31
2024-10-15,Small-Hydro,MW,Andhra Pradesh,2024,10,163.31
2024-11-15,Small-Hydro,MW,Andhra Pradesh,2024,11,163.31
2024-12-15,Small-Hydro,MW,Andhra Pradesh,2024,12,163.31
2025-01-15,Small-Hydro,MW,Andhra Pradesh,2025,1,163.31
2025-02-15,Small-Hydro,MW,Andhra Pradesh,2025,2,163.31
2025-03-15,Small-Hydro,MW,Andhra Pradesh,2025,3,163.31
2025-04-15,Small-Hydro,MW,Andhra Pradesh,2025,4,163.31
2025-05-15,Small-Hydro,MW,Andhra Pradesh,2025,5,163.31
2025-06-15,Small-Hydro,MW,Andhra Pradesh,2025,6,163.31
2025-07-15,Small-Hydro,MW,Andhra Pradesh,2025,7,163.31
2025-08-15,Small-Hydro,MW,Andhra Pradesh,2025,8,163.31
2024-01-15,Bio Power,MW,Andhra Pradesh,2024,1,566.39
2024-02-15,Bio Power,MW,Andhra Pradesh,2024,2,566.39
2024-03-15,Bio Power,MW,Andhra Pradesh,2024,3,574.39
2024-04-15,Bio Power,MW,Andhra Pradesh,2024,4,574.39
2024-05-15,Bio Power,MW,Andhra Pradesh,2024,5,574.39
2024-06-15,Bio Power,MW,Andhra Pradesh,2024,6,574.39
