name46,reg46,name37,reg37,name36,reg36,name35,reg35,name34,reg34,name32,reg32,name7,reg7,name5,reg5,name1,reg1,mainland,offshore,km2
Andaman and Nicobar,AN,Andaman and Nicobar,AN,Andaman and Nicobar,AN,Andaman and Nicobar,AN,Andaman and Nicobar,AN,Andaman and Nicobar,AN,Andaman and Nicobar,AN,Eastern Region,EAST,India,IND,FALSE,FALSE,"7,378"
Arunachal Pradesh,AR,Arunachal Pradesh,AR,Arunachal Pradesh,AR,Arunachal Pradesh,AR,Arunachal Pradesh,AR,Arunachal Pradesh,AR,North-Eastern Region,NORTHEAST,North-Eastern Region,NORTHEAST,India,IND,TRUE,FALSE,"82,242"
Assam,AS,Assam,AS,Assam,AS,Assam,AS,Assam,AS,Assam,AS,North-Eastern Region,NORTHEAST,North-Eastern Region,NORTHEAST,India,IND,TRUE,FALSE,"78,620"
Bihar,BR,Bihar,BR,Bihar,BR,Bihar,BR,Bihar,BR,Bihar,BR,Eastern Region,EAST,Eastern Region,EAST,India,IND,TRUE,FALSE,"94,296"
Chandigarh,CH,Chandigarh,CH,Chandigarh,CH,Chandigarh,CH,Chandigarh,CH,Punjab and Chandigarh,PBH,Northern Region,NORTH,Northern Region,NORTH,India,IND,TRUE,FALSE,119
Chhattisgarh,CT,Chhattisgarh,CT,Chhattisgarh,CT,Chhattisgarh,CT,Chhattisgarh,CT,Chhattisgarh,CT,Western Region,WEST,Western Region,WEST,India,IND,TRUE,FALSE,"135,614"
Dadra and Nagar Haveli,DN,Dadra and Nagar Haveli,DN,Dadra and Nagar Haveli,DN,"Daman, Diu, Dadara, and Nagar",DR,Dadra and Nagar Haveli,DN,"Gujarat, Daman, Diu, Dadara, and Nagar",GJN,Western Region,WEST,Western Region,WEST,India,IND,TRUE,FALSE,499
Goa,GA,Goa,GA,Goa,GA,Goa,GA,Goa,GA,Goa,GA,Western Region,WEST,Western Region,WEST,India,IND,TRUE,FALSE,"3,646"
Gujarat,GJ,Gujarat,GJ,Gujarat,GJ,Gujarat,GJ,"Gujarat, Daman, and Diu",GJD,"Gujarat, Daman, Diu, Dadara, and Nagar",GJN,Western Region,WEST,Western Region,WEST,India,IND,TRUE,FALSE,"186,217"
Haryana,HR,Haryana,HR,Haryana,HR,Haryana,HR,Haryana,HR,Haryana,HR,Northern Region,NORTH,Northern Region,NORTH,India,IND,TRUE,FALSE,"44,170"
Himachal Pradesh,HP,Himachal Pradesh,HP,Himachal Pradesh,HP,Himachal Pradesh,HP,Himachal Pradesh,HP,Himachal Pradesh,HP,Northern Region,NORTH,Northern Region,NORTH,India,IND,TRUE,FALSE,"55,709"
Jammu and Kashmir,JK,Jammu and Kashmir,JK,Jammu and Kashmir,JK,Jammu and Kashmir,JK,Jammu and Kashmir,JK,Jammu and Kashmir,JK,Northern Region,NORTH,Northern Region,NORTH,India,IND,TRUE,FALSE,"222,336"
Jharkhand,JH,Jharkhand,JH,Jharkhand,JH,Jharkhand,JH,Jharkhand,JH,Jharkhand,JH,Eastern Region,EAST,Eastern Region,EAST,India,IND,TRUE,FALSE,"80,062"
Karnataka,KA,Karnataka,KA,Karnataka,KA,Karnataka,KA,Karnataka,KA,Karnataka,KA,Southern Region,SOUTH,Southern Region,SOUTH,India,IND,TRUE,FALSE,"192,431"
Kerala,KL,Kerala,KL,Kerala,KL,Kerala,KL,Kerala and part of Puducherry,KLY,Kerala and part of Puducherry,KLY,Southern Region,SOUTH,Southern Region,SOUTH,India,IND,TRUE,FALSE,"38,975"
Lakshadweep,LD,Lakshadweep,LD,Lakshadweep,LD,Lakshadweep,LD,Lakshadweep,LD,Lakshadweep,LD,Lakshadweep,LD,Southern Region,SOUTH,India,IND,FALSE,FALSE,618
Madhya Pradesh,MP,Madhya Pradesh,MP,Madhya Pradesh,MP,Madhya Pradesh,MP,Madhya Pradesh,MP,Madhya Pradesh,MP,Western Region,WEST,Western Region,WEST,India,IND,TRUE,FALSE,"308,808"
Maharashtra,MH,Maharashtra,MH,Maharashtra,MH,Maharashtra,MH,Maharashtra,MH,Maharashtra,MH,Western Region,WEST,Western Region,WEST,India,IND,TRUE,FALSE,"308,629"
Manipur,MN,Manipur,MN,Manipur,MN,Manipur,MN,Manipur,MN,Manipur,MN,North-Eastern Region,NORTHEAST,North-Eastern Region,NORTHEAST,India,IND,TRUE,FALSE,"22,354"
Meghalaya,ML,Meghalaya,ML,Meghalaya,ML,Meghalaya,ML,Meghalaya,ML,Meghalaya,ML,North-Eastern Region,NORTHEAST,North-Eastern Region,NORTHEAST,India,IND,TRUE,FALSE,"22,487"
