State,reg37,name37,reg37_match_comment
Andhra Pradesh,AP,Andhra Pradesh,
Telangana,TG,Telangana,
Karnataka,KA,Karnataka,
Puducherry,PY,Puducherry,
Goa,GA,Goa,
Chhattisgarh,CT,Chhattisgarh,
Jammu and Kashmir,JK,Jammu and Kashmir,
Himachal Pradesh,HP,Himachal Pradesh,
Chandigarh,CH,Chandigarh,
Haryana,HR,Haryana,
Ladakh,JK,Jammu and Kashmir,manual mapping
Madhya Pradesh,MP,Madhya Pradesh,
Maharashtra,MH,Maharashtra,
Gujarat,GJ,Gujarat,
Dadra and Nagar Haveli and Daman and Diu,,,"compound region exists as separate regions at name37: DN, DM, DU (can be aggregated manually)"
Nagaland,NL,Nagaland,
Assam,AS,Assam,
Arunachal Pradesh,AR,Arunachal Pradesh,
Odisha,OR,Odisha,
Punjab,PB,Punjab,
Tamil Nadu,TN,Tamil Nadu,
Kerala,KL,Kerala,
Tripura,TR,Tripura,
Meghalaya,ML,Meghalaya,
Manipur,MN,Manipur,
Mizoram,MZ,Mizoram,
Uttar Pradesh,UP,Uttar Pradesh,
Uttarakhand,UT,Uttarakhand,
Rajasthan,RJ,Rajasthan,
Delhi,DL,Delhi,
West Bengal,WB,West Bengal,
Sikkim,SK,Sikkim,
Bihar,BR,Bihar,
Jharkhand,JH,Jharkhand,
